city,day,hotel,island
Wellington,8,450,北
Christchurch,5,57,南
Dunedin,4,103,南
Napier,3,232,北
Rotorua,3,339,北
Invercargill,3,191,南
Queenstown,3,321,南
Gisborne,2,138,北
Palmerston North,2,297,北
Tauranga,2,380,北
Whanganui,2,490,北
Whangarei,2,503,北
Oamaru,2,275,南
Auckland,1,11,北
New Plymouth,1,265,北
Taupo,1,362,北
Whakatane,1,481,北
Alexandra,1,0,南
Blenheim,1,41,南
Geraldine,1,130,南
Gore,1,153,南
Greymouth,1,161,南
Kaikoura,1,200,南
Nelson,1,245,南
Wanaka,1,434,南
Cape Reinga,0,-1,北
Dargaville,0,99,北
Franz Josef/Waiau,0,125,北
Hamilton,0,175,北
Hicks Bay,0,190,北
Kaitaia,0,207,北
Masterton,0,221,北
Paihia,0,284,北
Taumarunui,0,356,北
Thames,0,406,北
Waikaremoana,0,-1,北
Waitomo Caves,0,433,北
Whakapapa Village,0,-1,北
Aoraki/Mount Cook,0,-1,南
Collingwood,0,-1,南
Cromwell,0,-1,南
Haast,0,173,南
Lake Tekapo,0,212,南
Milford Sound,0,-1,南
Murchison,0,230,南
Picton,0,312,南
Te Anau,0,391,南
Timaru,0,412,南
Twizel,0,422,南
Westport,0,473,南
